Name,Administration,Pop2014,Pop2019,city,city2,city3,city4,1,2,3
Zdolbuniv,RIV,24693,24766,XYZ123,XYZ123,NA,NA,Zdolbunov,NA,NA
Saky,KRY,23391,24727,XYZ123,XYZ123,NA,NA,Saki,Bar,NA
Olesky,CHE,25086,24639,Oleshky,Cjurupynsk,NA,NA,NA,NA,NA
Debalceve,DON,25525,24583,Debaltseve,XYZ123,NA,NA,NA,NA,NA
Zolociv,LVI,24119,24152,Zolochiv,XYZ123,NA,NA,Zolochev,NA,NA
Kaniv,CKS,25354,23742,XYZ123,XYZ123,NA,NA,Malin,Kanev,Saki
Berehove,ZAK,24371,23732,Berehove,XYZ123,NA,NA,NA,NA,NA
Brody,LVI,23803,23517,XYZ123,XYZ123,NA,NA,NA,NA,NA
Hadjac,POL,24187,23480,Hadiach,XYZ123,NA,NA,Gadyach,NA,NA
Kozjatyn,VIN,24180,23241,Koziatyn,XYZ123,NA,NA,Kazatin,NA,NA
Dokucaevsk,DON,23641,23067,Dokuchaievsk,XYZ123,NA,NA,NA,NA,NA
Vilnohirsk,DNI,23766,22979,Vilnohirsk,XYZ123,NA,NA,NA,NA,NA
Krolevec,SUM,23507,22907,Krolevets,XYZ123,NA,NA,NA,NA,NA
Ladyzyn,VIN,22783,22687,Ladyzhyn,XYZ123,NA,NA,NA,NA,NA
Molodohvardijsk,LUH,23113,22671,Molodohvardiysk,XYZ123,NA,NA,NA,NA,NA
Selidove,DON,23989,22614,Selydove,XYZ123,NA,NA,NA,NA,NA
Nadvirna,IVA,22255,22447,XYZ123,XYZ123,NA,NA,Nadvornaya,NA,NA
Znamjanka,KIR,23743,22444,Znamianka,XYZ123,NA,NA,Znamenka,NA,NA
Volnovacha,DON,23164,21902,Volnovakha,XYZ123,NA,NA,NA,NA,NA
Merefa,CHA,22383,21794,Merefa,XYZ123,NA,NA,NA,NA,NA
Armjansk,KRY,22286,21552,Armyansk,Armensk,NA,NA,NA,NA,NA
Kremenec,TER,21624,21063,Kremenets,XYZ123,NA,NA,NA,NA,NA
Lyman,DON,22409,21007,XYZ123,Krasnyj Liman,NA,NA,NA,NA,NA
Sokal,LVI,21371,20986,Sokal,XYZ123,NA,NA,Saki,NA,NA
Ljubotyn,CHA,21853,20887,Liubotyn,XYZ123,NA,NA,NA,NA,NA
Polonne,CHM,21651,20785,Polonne,XYZ123,NA,NA,NA,NA,NA
Dolyna,IVA,20654,20691,XYZ123,XYZ123,NA,NA,Dolina,NA,NA
Suchodilsk,LUH,20949,20662,Sukhodilsk,XYZ123,NA,NA,NA,NA,NA
Stebnyk,LVI,20988,20645,Stebnyk,XYZ123,NA,NA,NA,NA,NA
Krasnohrad,CHA,21231,20447,XYZ123,XYZ123,NA,NA,Krasnograd,NA,NA
Popasna,LUH,21765,20306,XYZ123,XYZ123,NA,NA,NA,NA,NA
Trostjanec,SUM,21220,20238,Trostianets,XYZ123,NA,NA,Trostyanets,NA,NA
Jahotyn,KYI,20340,19613,Yahotyn,XYZ123,NA,NA,NA,NA,NA
Kilija,ODE,20449,19540,Kiliya,XYZ123,NA,NA,Dolina,NA,NA
Henicesk,CHE,20132,19501,Henichesk,XYZ123,NA,NA,Genichesk,NA,NA
