Name,Administration,Pop2010,Pop2019,Region,city,city2
Bologoje,TVE,23494,20739,Central,Bologoye,XYZ123
Olenegorsk,MUR,23072,20697,North West,XYZ123,XYZ123
Buinsk,TAT,20352,20681,Volga,XYZ123,XYZ123
Elektrougli,MOS,20136,20670,Central,XYZ123,XYZ123
Niznij Lomov,PEN,22678,20662,Volga,Nizhny Lomov,XYZ123
Monino,MOS,22821,20632,Central,XYZ123,XYZ123
Dygulubgej,KBA,20228,20619,Northern Caucasus,Dygulybgey,XYZ123
Kaltan,KEM,21892,20610,Siberia,XYZ123,XYZ123
Kurovskoje,MOS,21819,20605,Central,Kurovskoye,XYZ123
Bruchoveckaja,KND,22139,20570,Southern,Bryukhovetskaya,XYZ123
Arsk,TAT,18114,20523,Volga,XYZ123,XYZ123
Tyrnyauz,KBA,21000,20513,Northern Caucasus,XYZ123,XYZ123
Ostrov,PSK,21668,20482,North West,XYZ123,XYZ123
Ocha,SCL,23008,20391,Far East,Okha,XYZ123
