Name,Administration,Pop2010,Pop2019,Region,city,city2,1,2,3,4
Aleksandrov,VLA,61551,58741,Central,Alexandrov,XYZ123,NA,NA,NA,NA
Lytkarino,MOS,55237,58606,Central,XYZ123,XYZ123,NA,NA,NA,NA
Rzev,TVE,61982,58596,Central,Rzhev,XYZ123,NA,NA,NA,NA
Njagan,TUM,54890,58335,Ural,Nyagan,XYZ123,NA,NA,NA,NA
Tichvin,LEN,58459,58068,North West,Tikhvin,XYZ123,NA,NA,NA,NA
Aleksin,TUL,61732,57950,Central,XYZ123,XYZ123,Alexin,NA,NA,NA
Prochladnyj,KBA,59601,57883,Northern Caucasus,Prokhladny,XYZ123,NA,NA,NA,NA
Michajlovka,VGG,59132,57829,Southern,Mikhaylovka,XYZ123,NA,NA,NA,NA
Krymsk,KND,57382,57822,Southern,XYZ123,XYZ123,NA,NA,NA,NA
Tichoreck,KND,61823,57771,Southern,Tikhoretsk,XYZ123,NA,NA,NA,NA
Scekino,TUL,58139,57683,Central,Shchyokino,XYZ123,Schekino,NA,NA,NA
Suja,IVA,58486,57569,Central,Shuya,XYZ123,Ruza,NA,NA,NA
Meleuz,BAS,61390,57248,Volga,XYZ123,XYZ123,NA,NA,NA,NA
Salsk,ROS,61316,57128,Southern,Salsk,XYZ123,Rylsk,NA,NA,NA
Pavlovo,NNO,60698,57028,Volga,XYZ123,XYZ123,NA,NA,NA,NA
